,spotify_track_uri,master_metadata_track_name,ms_played
73,spotify:track:3wD6otSw1eHaGGOziLmP8J,Survivors - Acoustic,2716174
74,spotify:track:10D6VJLgBNPJLDCGJH8NKM,Somebody's Love - Single Version,2704850
75,spotify:track:6AylhieKLSS6ZxKA35DvX9,London in the Spring - Single Version,2674996
76,spotify:track:0MxjMpHrMlMWIu7VstTMwu,Runaway,2441546
77,spotify:track:2sRkcqgxX11ylhpatCauqC,And It Stoned Me (Cover),2369949
78,spotify:track:2vcGGTmWX8vp0EibYwNsLx,Let's Go,2345693
79,spotify:track:6GmUVqe73u5YRfUUynZK6I,Let Her Go,2319609
80,spotify:track:0iHXAih9WcTRXiJjgyPFBa,Fool's Gold,2301387
81,spotify:track:1jIGh5sfRJsxs94jVq6twj,Why Can't I Change,2301226
82,spotify:track:51kLX0Enc7K0WkTtd8DJz4,The Way That I Need You,2290069
83,spotify:track:05INcg3T8eXcDiCxANH3fR,Heart of Gold (Cover),2277961
84,spotify:track:2JjjBGhv43hOt1TreU1T0S,He Leaves You Cold,2218463
85,spotify:track:53W8zd1F4QASq67PsllYOG,Someone You Loved (Cover),2217193
86,spotify:track:1Ne8Bps9vPxCmmSetoJSBd,Simple Song,2203839
87,spotify:track:4K9YS0nkXZMgV0F9JQoirx,Beautiful Birds (feat. Birdy),2176136
88,spotify:track:4ikoQqrVmGNcAn0p4oxOx9,Everything - Acoustic,2166040
89,spotify:track:6ljdHuAmLJzgLZITVJYipi,Swimming Upstream,2158237
90,spotify:track:3n4CsVh7NuZq6DfOfUKoen,Everything,2153613
91,spotify:track:0yVsB7VhYZ0lIAfGU30TWk,Riding To New York,2117731
92,spotify:track:5SlofjTaLOUAJH6X9Kjj2T,Home,2091363
93,spotify:track:4szPdmfyPyE5UaCi5xq0Y8,Survivors,2083390
94,spotify:track:2VRy1X0C7Gr7qEt1mSsQQE,What You're Waiting For,2059506
95,spotify:track:0TJRt02d1PkB2neDk3mcFC,New Until It's Old,2033038
96,spotify:track:05rqbswwbEGJhnAmoSIXcR,When We Were Young - Acoustic,2015531
97,spotify:track:0pOs9VlkkcQBrdiIrZqJs7,Queenstown,1961330
98,spotify:track:5GLilt1jRW3niU4AEn7ARa,"However It Comes , Wherever It Goes",1906593
99,spotify:track:4NRLG4n9elOW7UsuTCzyNd,Chasing Gold,1867948
100,spotify:track:3WSfX5RhR8vln6IaaRFjq8,The Last Unicorn,1831959
101,spotify:track:0drV0j381wBY2sVHPhJHVb,Do What's Right,1831510
102,spotify:track:28ENK6HpSmtc4JUljxZqe5,A Thousand Matches,1807512
103,spotify:track:1AamwwLMxzX4EGPUZGHbqL,Remember to Forget,1744075
104,spotify:track:6EfXf9OhZ64J6D3ssVCTon,The One You Love,1670216
105,spotify:track:7wQVIel0NfQK9IMO7tDEN8,Travelling Alone,1661998
106,spotify:track:5QrqXOTpWw4MfoDlHfCdBL,All the Little Lights,1650755
107,spotify:track:14aauQ5Mtkan09WgRkUriF,The Way That I Love You (Single Version),1621014
108,spotify:track:7KWIib9I0duij7SSCaQVaf,Ain't No Sunshine (Cover),1614595
109,spotify:track:0JKLUABAZOrxGIJ98qj9wn,Thunder,1597155
110,spotify:track:6p3fm3NPuyftNTWoYmcxoT,"Young as the Morning, Old as the Sea - Acoustic",1583952
111,spotify:track:5cj2g0s91RSoKpkAyqs2gQ,Circles,1565136
112,spotify:track:7DZ8n63a46dU6iUyN9OeRl,The Way That I Love You - Single Version,1532146
113,spotify:track:0vdP5fj5i9uCW9IFquOG3G,The Long Road - Acoustic,1510831
114,spotify:track:1J57P3cwltq4OG9flDTc12,Holes,1492211
115,spotify:track:4tzAf07GCR6DlycQkUKlgN,Let Her Go - Acoustic,1476570
116,spotify:track:2zfXlVUNOrsyiBcVVSzNxm,Suzanne - Acoustic,1473600
117,spotify:track:6UBWuUaVM6KGvfNwSi6Bzf,Coins In A Fountain,1473168
118,spotify:track:2Dad2dzctBwgh4EvrYkq5M,Heart's on Fire,1438052
119,spotify:track:2gqhDT0mDpMwCLNM7sEYnN,Eagle Bear Buffalo,1429667
120,spotify:track:3MsiPVheov3DAN3jwS8W9v,To Be Free,1414246
121,spotify:track:0WTQ3OVvyuD49BfO99Q6y7,Sweet Louise,1400417
122,spotify:track:52Wgm0tmTTScxhtGGLxWWF,Strangers,1399853
123,spotify:track:5BoEqnAfKO9uCuXQ13s2Wi,Beautiful Birds - Acoustic,1385514
124,spotify:track:2mNUSPQ9NfBlSrrpd6Isor,Night Vision Binoculars,1332969
125,spotify:track:1nAmAaEmFEYXJ4dpS7NyVp,Hell or High Water,1322808
126,spotify:track:168nRwFhsT6iy784JLwbi5,London in the Spring,1321267
127,spotify:track:2SwUcCiP7Nr6iqo8XilTm4,Wicked Man's Rest,1299865
128,spotify:track:0sdz8eO7nkkgPO6LMf8f8M,Start A Fire,1282697
129,spotify:track:2gZMC3IiymeyA5Sd2DJfgr,Four Horses,1253331
130,spotify:track:4TmgTl0vwd2DLIWXdiy6Ek,Rolling Stone,1229260
131,spotify:track:1wmivQKZg5P2GT7ZiKbCmG,Sandstorm,1209525
132,spotify:track:12Az2ykAUbYN0qGaEZXzax,Heart's on Fire (Acoustic),1180300
133,spotify:track:3ZA4WrEaw41uDygvpwnkZX,Riding to New York,1134759
134,spotify:track:03TUST14jnSjdnSQbXhFKO,Heaven (Live from San Francisco),1123212
135,spotify:track:5OKwtOtsGxwAgEsC2owirs,Against the Grain,1121274
136,spotify:track:42fyB9HdEfkAqZ8u80Zh2K,Lanterns,1114352
137,spotify:track:5SveuGijchAKqwh39oiIRu,I See Love,1111758
138,spotify:track:3TVxbnHr4c1ZD38Bdg6Mzh,Lanterns - Live from Spotify London,1087347
139,spotify:track:0fSIdo7km8Q46ayuHMN8Zt,Sandstorm - Acoustic,1070997
140,spotify:track:4xF6c25gqsusFEW6chMmHP,Divers & Submarines,1070370
141,spotify:track:6lbab5xH9F6MfjXsKl0f6D,Let Her Go (Acoustic Version),1066507
142,spotify:track:7aTvEAdyzhbWOLteToR1Oi,For You,1046831
143,spotify:track:2yGTCdmOQI6ipDKAb8ERPQ,Beneath Your Beautiful - Live in Amsterdam,1044786
144,spotify:track:2XlIdPWgqqXR3nluQa441S,"He Leaves You Cold - Live from Unityville, PA",1017185
145,spotify:track:6yhkWG9NtGsggtYOkbZZ7d,Nothing Aches Like a Broken Heart - Acoustic,988465
146,spotify:track:73r7lJi3HvTiCOjlB8TGYr,A Kindly Reminder,979803
147,spotify:track:5QdbqBsDYhhY5a6EPg335f,A Song for the Drunk and Broken Hearted - Acoustic,976358
148,spotify:track:7tWyfy3ySgLMbH9R0xeqzZ,Month of Sundays,969274
149,spotify:track:1m9NdI7tEGkbuRmJJujKCO,Why Can't I Change,961794
150,spotify:track:7MIStNE3PRrcSE5beK12Fk,The Way That I Love You,956385
151,spotify:track:4Oh4vFahNU7SuyFdOjOFrz,London in the Spring - Acoustic,906961
152,spotify:track:6nFM4gHZZ2fzjGvtuvWZnN,Bloodstains,901864
153,spotify:track:7D1hIhsuVa2iCQSKSvZkvx,Remember to Forget,874667
154,spotify:track:0ydbSmppqf8HRp5CoGwFPo,Venice Canals,869013
155,spotify:track:7ewnxUGHBWXHWtYgMi6QrF,I Won't Be There That Day,857864
156,spotify:track:6n2Z0hqtVQl5LgR0gheKgM,Scare Away the Dark (Live from San Francisco),839307
157,spotify:track:2evB0L9S2XXD04TPiBsM8z,Life's for the Living - Acoustic,805599
